date,emissions
1949,2206.690829
1950,2382.046176
1951,2526.687327
1952,2473.373964
1953,2536.892888
1954,2422.25256
1955,2684.786146
1956,2777.042758
1957,2756.562392
1958,2703.188545
1959,2807.171174
1960,2914.008533
1961,2942.790633
1962,3064.923181
1963,3184.516899
1964,3316.753148
1965,3461.741169
1966,3654.178703
1967,3749.381715
1968,3964.523069
1969,4134.686706
1970,4261.307787
1971,4311.927159
1972,4532.007774
1973,4721.984594
1974,4561.227063
1975,4426.421477
1976,4694.157203
1977,4835.524743
1978,4883.910187
1979,4946.62713
1980,5370.507035
1981,5233.073147
1982,4988.297413
1983,4952.529631
1984,5260.549762
1985,5264.550596
1986,5269.588436
1987,5455.675671
1988,5712.176088
1989,5827.204979
1990,5757.176054
1991,5722.908496
1992,5849.356501
1993,5953.972079
1994,6073.928946
1995,6124.214692
1996,6334.342636
1997,6431.28543
1998,6503.038857
1999,6577.187163
2000,6771.306959
2001,6684.063723
2002,6744.674606
2003,6839.776248
2004,6973.069314
2005,7008.754879
2006,6943.430516
2007,7042.220682
2008,6834.085119
2009,6391.314543
2010,6617.803548
2011,6496.905938
2012,6282.836082
2013,6424.731331
2014,6468.127089
2015,6336.860299
2016,6241.322193
2017,6215.118995
2018,6381.236073
